Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Mon Apr 24 21:34:19 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,464,638,20,329,3008,Medium,,[]
30,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,473,638,23,329,3014,,Reflected,[00029]
37,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,498,638,23,329,3014,,Reflected,[00036]
35,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,472,638,23,329,3014,,Reflected,[00034]
36,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,470,638,23,329,3014,,Reflected,[00035]
25,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,477,638,23,329,3014,,Reflected,[00024]
6,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,495,638,23,329,3014,,Reflected,[00005]
7,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,496,638,23,329,3014,,Reflected,[00006]
31,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,473,638,23,329,3014,,Reflected,[00030]
9,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,500,638,23,329,3014,,Reflected,[00008]
27,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,484,638,23,329,3014,,Reflected,[00026]
5,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,506,638,23,329,3014,,Reflected,[00004]
1,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,518,638,23,329,3014,,Reflected,[00000]
4,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,677,638,23,329,3014,,Reflected,[00003]
14,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,682,638,23,329,3014,,Reflected,[00013]
22,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,669,638,23,329,3014,,Reflected,[00021]
23,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,673,638,23,329,3014,,Reflected,[00022]
18,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,690,638,23,329,3014,,Reflected,[00017]
16,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,695,638,23,329,3014,,Reflected,[00015]
13,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,696,638,23,329,3014,,Reflected,[00012]
12,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,701,638,23,329,3014,,Reflected,[00011]
21,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,716,638,23,329,3014,,Reflected,[00020]
19,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,704,638,23,329,3014,,Reflected,[00018]
26,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,685,638,23,329,3014,,Reflected,[00025]
8,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,699,638,23,329,3014,,Reflected,[00007]
11,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,951,638,23,329,3014,,Reflected,[00010]
38,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,919,638,23,329,3014,,Reflected,[00037]
3,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,967,638,23,329,3014,,Reflected,[00002]
39,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,934,638,23,329,3014,,Reflected,[00038]
28,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,946,638,23,329,3014,,Reflected,[00027]
29,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,933,638,23,329,3014,,Reflected,[00028]
2,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,954,638,23,329,3014,,Reflected,[00001]
40,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,916,638,23,329,3014,,Reflected,[00039]
20,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,933,638,23,329,3014,,Reflected,[00019]
32,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,926,638,23,329,3014,,Reflected,[00031]
24,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,931,638,23,329,3014,,Reflected,[00023]
15,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,943,638,23,329,3014,,Reflected,[00014]
33,Fuzzed,Mon Apr 24 21:40:06 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,1132,638,23,329,3014,,Reflected,[00032]
53,Fuzzed,Mon Apr 24 21:40:07 BRT 2023,POST,http://44.227.89.148:8075/purple/index.php,200,OK,477,638,23,329,3014,,Reflected,[00052]
